コード,銘柄名,市場・商品区分,33業種区分,17業種区分
9740.T,セントラル警備保障,東証プライム,サービス業,情報通信・サービスその他
9742.T,アイネス,東証プライム,情報・通信業,情報通信・サービスその他
9743.T,丹青社,東証プライム,サービス業,情報通信・サービスその他
9744.T,メイテックグループホールディングス,東証プライム,サービス業,情報通信・サービスその他
9746.T,ＴＫＣ,東証プライム,情報・通信業,情報通信・サービスその他
9755.T,応用地質,東証プライム,サービス業,情報通信・サービスその他
9757.T,船井総研ホールディングス,東証プライム,サービス業,情報通信・サービスその他
9759.T,ＮＳＤ,東証プライム,情報・通信業,情報通信・サービスその他
9765.T,オオバ,東証プライム,サービス業,情報通信・サービスその他
9766.T,コナミグループ,東証プライム,情報・通信業,情報通信・サービスその他
9769.T,学究社,東証プライム,サービス業,情報通信・サービスその他
9788.T,ナック,東証プライム,サービス業,情報通信・サービスその他
9790.T,福井コンピュータホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
9793.T,ダイセキ,東証プライム,サービス業,情報通信・サービスその他
9795.T,ステップ,東証プライム,サービス業,情報通信・サービスその他
9824.T,泉州電業,東証プライム,卸売業,商社・卸売
9830.T,トラスコ中山,東証プライム,卸売業,商社・卸売
9831.T,ヤマダホールディングス,東証プライム,小売業,小売
9832.T,オートバックスセブン,東証プライム,卸売業,商社・卸売
9837.T,モリト,東証プライム,卸売業,商社・卸売
9842.T,アークランズ,東証プライム,小売業,小売
9843.T,ニトリホールディングス,東証プライム,小売業,小売
9850.T,グルメ杵屋,東証プライム,小売業,小売
9861.T,吉野家ホールディングス,東証プライム,小売業,小売
9869.T,加藤産業,東証プライム,卸売業,商社・卸売
9880.T,イノテック,東証プライム,電気機器,電機・精密
9882.T,イエローハット,東証プライム,卸売業,商社・卸売
9887.T,松屋フーズホールディングス,東証プライム,小売業,小売
9889.T,ＪＢＣＣホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
9900.T,サガミホールディングス,東証プライム,小売業,小売
9902.T,日伝,東証プライム,卸売業,商社・卸売
9928.T,ミロク情報サービス,東証プライム,情報・通信業,情報通信・サービスその他
9932.T,杉本商事,東証プライム,卸売業,商社・卸売
9934.T,因幡電機産業,東証プライム,卸売業,商社・卸売
9936.T,王将フードサービス,東証プライム,小売業,小売
9946.T,ミニストップ,東証プライム,小売業,小売
9948.T,アークス,東証プライム,小売業,小売
9956.T,バローホールディングス,東証プライム,小売業,小売
9960.T,東テク,東証プライム,卸売業,商社・卸売
9962.T,ミスミグループ本社,東証プライム,卸売業,商社・卸売
9974.T,ベルク,東証プライム,小売業,小売
9983.T,ファーストリテイリング,東証プライム,小売業,小売
9984.T,ソフトバンクグループ,東証プライム,情報・通信業,情報通信・サービスその他
9987.T,スズケン,東証プライム,卸売業,商社・卸売
9989.T,サンドラッグ,東証プライム,小売業,小売
9990.T,サックスバー　ホールディングス,東証プライム,小売業,小売
9991.T,ジェコス,東証プライム,卸売業,商社・卸売
9997.T,ベルーナ,東証プライム,小売業,小売
